ArraySize,Cutoff,AvgTime(ms)
100000,1000,11.2
100000,5000,4.0
100000,10000,10.8
100000,20000,10.4
100000,50000,4.5
100000,100000,6.9
100000,200000,9.4
500000,1000,28.9
500000,5000,21.0
500000,10000,17.1
500000,20000,15.8
500000,50000,16.0
500000,100000,14.7
500000,200000,18.9
1000000,1000,37.8
1000000,5000,36.4
1000000,10000,31.4
1000000,20000,31.0
1000000,50000,30.9
1000000,100000,30.8
1000000,200000,30.0
2000000,1000,77.9
2000000,5000,85.1
2000000,10000,71.2
2000000,20000,69.6
2000000,50000,67.7
2000000,100000,69.4
2000000,200000,65.8
5000000,1000,267.1
5000000,5000,196.9
5000000,10000,185.7
5000000,20000,184.1
5000000,50000,172.7
5000000,100000,171.5
5000000,200000,162.2
